240904171126604 Main.main()	INFO: Textos de Don Quijote: 
240904171126615 Main.main()	INFO:  (50 caracteres) : En un lugar de la Mancha, de cuyo nombre no quiero
240904171126616 Main.main()	INFO:  (22 caracteres) : acordarme, no ha mucho
240904171126617 Main.main()	INFO:  (43 caracteres) : tiempo que vivía un hidalgo de los de lanza
240904171126618 Main.main()	INFO:  (63 caracteres) : en astillero, adarga antigua, rocín flaco y galgo corredor. Una
240904171126618 Main.main()	INFO:  (43 caracteres) : olla de algo más vaca que carnero, salpicón
240904171126620 Main.main()	INFO:  (24 caracteres) : las más noches, duelos y
240904171126620 Main.main()	INFO:  (60 caracteres) : quebrantos los sábados, lentejas los viernes, algún palomino
240904171126622 Main.main()	INFO:  (55 caracteres) : de añadidura los domingos, consumían las tres partes de
240904171126622 Main.main()	INFO:  (21 caracteres) : su hacienda. El resto
240904171126623 Main.main()	INFO:  (42 caracteres) : della concluían sayo de velarte, calzas de
240904171126623 Main.main()	INFO:  (48 caracteres) : velludo para las fiestas con sus pantuflos de lo
240904171126623 Main.main()	INFO:  (31 caracteres) : mismo, los días de entre semana
240904171126624 Main.main()	INFO:  (50 caracteres) : se honraba con su vellori de lo más fino. Tenía en
240904171126625 Main.main()	INFO:  (33 caracteres) : su casa una ama que pasaba de los
240904171126625 Main.main()	INFO:  (38 caracteres) : cuarenta, y una sobrina que no llegaba
240904171126626 Main.main()	INFO:  (26 caracteres) : a los veinte, y un mozo de
240904171126626 Main.main()	INFO:  (41 caracteres) : campo y plaza, que así ensillaba el rocín
240904171126627 Main.main()	INFO:  (63 caracteres) : como tomaba la podadera. Frisaba la edad de nuestro hidalgo con
240904171126627 Main.main()	INFO:  (52 caracteres) : los cincuenta años, era de complexión recia, seco de
240904171126628 Main.main()	INFO:  (25 caracteres) : carnes, enjuto de rostro;
240904171126628 Main.main()	INFO:  (17 caracteres) : gran madrugador y
240904171126629 Main.main()	INFO:  (17 caracteres) : amigo de la caza.
240904171126629 Main.main()	INFO:  (17 caracteres) : Quieren decir que
240904171126630 Main.main()	INFO:  (20 caracteres) : tenía el sobrenombre
240904171126631 Main.main()	INFO:  (37 caracteres) : de Quijada o Quesada (que en esto hay
240904171126631 Main.main()	INFO:  (36 caracteres) : alguna diferencia en los autores que
240904171126631 Main.main()	INFO:  (63 caracteres) : deste caso escriben), aunque por conjeturas verosímiles se deja
240904171126632 Main.main()	INFO:  (21 caracteres) : entender que se llama
240904171126632 Main.main()	INFO:  (55 caracteres) : Quijana; pero esto importa poco a nuestro cuento; basta
240904171126632 Main.main()	INFO:  (23 caracteres) : que en la narración dél
240904171126633 Main.main()	INFO:  (47 caracteres) : no se salga un punto de la verdad.
Es, pues, de
240904171126633 Main.main()	INFO:  (63 caracteres) : saber, que este sobredicho hidalgo, los ratos que estaba ocioso
240904171126634 Main.main()	INFO:  (34 caracteres) : (que eran los más del año) se daba
240904171126634 Main.main()	INFO:  (13 caracteres) : a leer libros
240904171126634 Main.main()	INFO:  (41 caracteres) : de caballerías con tanta afición y gusto,
240904171126635 Main.main()	INFO:  (29 caracteres) : que olvidó casi de todo punto
240904171126635 Main.main()	INFO:  (30 caracteres) : el ejercicio de la caza, y aun
240904171126635 Main.main()	INFO:  (33 caracteres) : la administración de su hacienda;
240904171126636 Main.main()	INFO:  (18 caracteres) : y llegó a tanto su
240904171126636 Main.main()	INFO:  (66 caracteres) : curiosidad y desatino en esto, que vendió muchas hanegas de tierra
240904171126637 Main.main()	INFO:  (19 caracteres) : de sembradura, para
240904171126637 Main.main()	INFO:  (17 caracteres) : comprar libros de
240904171126637 Main.main()	INFO:  (24 caracteres) : caballerías en que leer;
240904171126638 Main.main()	INFO:  (27 caracteres) : y así llevó a su casa todos
240904171126638 Main.main()	INFO:  (18 caracteres) : cuantos pudo haber
240904171126638 Main.main()	INFO:  (39 caracteres) : dellos; y de todos ningunos le parecían
240904171126639 Main.main()	INFO:  (59 caracteres) : tan bien como los que compuso el famoso Feliciano de Silva:
240904171126639 Main.main()	INFO:  (62 caracteres) : porque la claridad de su prosa, y aquellas intrincadas razones
240904171126640 Main.main()	INFO:  (29 caracteres) : suyas, le parecían de perlas;
240904171126640 Main.main()	INFO:  (22 caracteres) : y más cuando llegaba a
240904171126640 Main.main()	INFO:  (45 caracteres) : leer aquellos requiebros y cartas de desafío,
240904171126641 Main.main()	INFO:  (48 caracteres) : donde en muchas partes hallaba escrito: la razón
240904171126641 Main.main()	INFO:  (41 caracteres) : de la sinrazón que a mi razón se hace, de
240904171126641 Main.main()	INFO:  (48 caracteres) : tal manera mi razón enflaquece, que con razón me
240904171126642 Main.main()	INFO:  (63 caracteres) : quejo de la vuestra fermosura, y también cuando leía: los altos
240904171126642 Main.main()	INFO:  (64 caracteres) : cielos que de vuestra divinidad divinamente con las estrellas se
240904171126643 Main.main()	INFO:  (61 caracteres) : fortifican, y os hacen merecedora del merecimiento que merece
240904171126643 Main.main()	INFO:  (58 caracteres) : la vuestra grandeza. Con estas y semejantes razones perdía
240904171126644 Main.main()	INFO:  (47 caracteres) : el pobre caballero el juicio, y desvelábase por
240904171126644 Main.main()	INFO:  (41 caracteres) : entenderlas, y desentrañarles el sentido,
240904171126645 Main.main()	INFO:  (47 caracteres) : que no se lo sacara, ni las entendiera el mismo
240904171126645 Main.main()	INFO:  (65 caracteres) : Aristóteles, si resucitara para sólo ello. No estaba muy bien con
240904171126645 Main.main()	INFO:  (15 caracteres) : las heridas que
240904171126646 Main.main()	INFO:  (52 caracteres) : don Belianis daba y recibía, porque se imaginaba que
240904171126646 Main.main()	INFO:  (27 caracteres) : por grandes maestros que le
