240904170300510 Main.main()	INFO: Textos de Don Quijote: 
240904170300522 Main.main()	INFO:  (40 caracteres) : En un lugar de la Mancha, de cuyo nombre
240904170300522 Main.main()	INFO:  (26 caracteres) : no quiero acordarme, no ha
240904170300523 Main.main()	INFO:  (33 caracteres) : mucho tiempo que vivía un hidalgo
240904170300524 Main.main()	INFO:  (29 caracteres) : de los de lanza en astillero,
240904170300525 Main.main()	INFO:  (49 caracteres) : adarga antigua, rocín flaco y galgo corredor. Una
240904170300527 Main.main()	INFO:  (43 caracteres) : olla de algo más vaca que carnero, salpicón
240904170300527 Main.main()	INFO:  (39 caracteres) : las más noches, duelos y quebrantos los
240904170300528 Main.main()	INFO:  (58 caracteres) : sábados, lentejas los viernes, algún palomino de añadidura
240904170300529 Main.main()	INFO:  (58 caracteres) : los domingos, consumían las tres partes de su hacienda. El
240904170300529 Main.main()	INFO:  (38 caracteres) : resto della concluían sayo de velarte,
240904170300530 Main.main()	INFO:  (17 caracteres) : calzas de velludo
240904170300530 Main.main()	INFO:  (20 caracteres) : para las fiestas con
240904170300531 Main.main()	INFO:  (51 caracteres) : sus pantuflos de lo mismo, los días de entre semana
240904170300532 Main.main()	INFO:  (28 caracteres) : se honraba con su vellori de
240904170300533 Main.main()	INFO:  (21 caracteres) : lo más fino. Tenía en
240904170300533 Main.main()	INFO:  (29 caracteres) : su casa una ama que pasaba de
240904170300534 Main.main()	INFO:  (27 caracteres) : los cuarenta, y una sobrina
240904170300534 Main.main()	INFO:  (20 caracteres) : que no llegaba a los
240904170300534 Main.main()	INFO:  (26 caracteres) : veinte, y un mozo de campo
240904170300535 Main.main()	INFO:  (12 caracteres) : y plaza, que
240904170300535 Main.main()	INFO:  (63 caracteres) : así ensillaba el rocín como tomaba la podadera. Frisaba la edad
240904170300536 Main.main()	INFO:  (22 caracteres) : de nuestro hidalgo con
240904170300536 Main.main()	INFO:  (23 caracteres) : los cincuenta años, era
240904170300536 Main.main()	INFO:  (25 caracteres) : de complexión recia, seco
