240904170006620 Main.main()	INFO: Textos de Don Quijote: 
240904170006632 Main.main()	INFO:  (43 caracteres) : En un lugar de la Mancha, de cuyo nombre no
240904170006632 Main.main()	INFO:  (57 caracteres) : quiero acordarme, no ha mucho tiempo que vivía un hidalgo
240904170006633 Main.main()	INFO:  (57 caracteres) : de los de lanza en astillero, adarga antigua, rocín flaco
240904170006634 Main.main()	INFO:  (17 caracteres) : y galgo corredor.
240904170006634 Main.main()	INFO:  (29 caracteres) : Una olla de algo más vaca que
240904170006635 Main.main()	INFO:  (40 caracteres) : carnero, salpicón las más noches, duelos
240904170006635 Main.main()	INFO:  (53 caracteres) : y quebrantos los sábados, lentejas los viernes, algún
240904170006636 Main.main()	INFO:  (54 caracteres) : palomino de añadidura los domingos, consumían las tres
240904170006636 Main.main()	INFO:  (52 caracteres) : partes de su hacienda. El resto della concluían sayo
240904170006637 Main.main()	INFO:  (50 caracteres) : de velarte, calzas de velludo para las fiestas con
240904170006637 Main.main()	INFO:  (38 caracteres) : sus pantuflos de lo mismo, los días de
240904170006638 Main.main()	INFO:  (15 caracteres) : entre semana se
240904170006638 Main.main()	INFO:  (44 caracteres) : honraba con su vellori de lo más fino. Tenía
240904170006639 Main.main()	INFO:  (29 caracteres) : en su casa una ama que pasaba
240904170006639 Main.main()	INFO:  (47 caracteres) : de los cuarenta, y una sobrina que no llegaba a
240904170006639 Main.main()	INFO:  (47 caracteres) : los veinte, y un mozo de campo y plaza, que así
240904170006640 Main.main()	INFO:  (62 caracteres) : ensillaba el rocín como tomaba la podadera. Frisaba la edad de
240904170006640 Main.main()	INFO:  (33 caracteres) : nuestro hidalgo con los cincuenta
240904170006641 Main.main()	INFO:  (56 caracteres) : años, era de complexión recia, seco de carnes, enjuto de
240904170006641 Main.main()	INFO:  (43 caracteres) : rostro; gran madrugador y amigo de la caza.
240904170006641 Main.main()	INFO:  (51 caracteres) : Quieren decir que tenía el sobrenombre de Quijada o
240904170006642 Main.main()	INFO:  (24 caracteres) : Quesada (que en esto hay
240904170006642 Main.main()	INFO:  (20 caracteres) : alguna diferencia en
240904170006642 Main.main()	INFO:  (71 caracteres) : los autores que deste caso escriben), aunque por conjeturas verosímiles
240904170006643 Main.main()	INFO:  (16 caracteres) : se deja entender
240904170006644 Main.main()	INFO:  (44 caracteres) : que se llama Quijana; pero esto importa poco
240904170006645 Main.main()	INFO:  (43 caracteres) : a nuestro cuento; basta que en la narración
240904170006645 Main.main()	INFO:  (9 caracteres) : dél no se
240904170006646 Main.main()	INFO:  (28 caracteres) : salga un punto de la verdad.
240904170006647 Main.main()	INFO: MODA de longitud de palabras: 43
240904170006648 Main.main()	INFO: Textos de Los Mosqueteros: 
240904170006649 Main.main()	INFO:  (23 caracteres) : El primer lunes del mes
240904170006650 Main.main()	INFO:  (48 caracteres) : de abril de 1625, el burgo de Meung, donde nació
240904170006650 Main.main()	INFO:  (51 caracteres) : el autor del Roman de la Rose, parecía estar en una
240904170006650 Main.main()	INFO:  (54 caracteres) : revolución tan completa como si los hugonotes hubieran
240904170006651 Main.main()	INFO:  (8 caracteres) : venido a
240904170006651 Main.main()	INFO:  (42 caracteres) : hacer de ella una segunda Rochelle. Muchos
240904170006651 Main.main()	INFO:  (36 caracteres) : burgueses, al ver huir a las mujeres
240904170006652 Main.main()	INFO:  (33 caracteres) : por la calle Mayor, al oír gritar
240904170006652 Main.main()	INFO:  (40 caracteres) : a los niños en el umbral de las puertas,
240904170006653 Main.main()	INFO:  (29 caracteres) : se apresuraban a endosarse la
240904170006653 Main.main()	INFO:  (24 caracteres) : coraza y, respaldando su
240904170006654 Main.main()	INFO:  (38 caracteres) : aplomo algo incierto con un mosquete o
240904170006654 Main.main()	INFO:  (63 caracteres) : una partesana, se dirigían hacia la hostería del Franc Meunier,
240904170006655 Main.main()	INFO:  (40 caracteres) : ante la cual bullía, creciendo de minuto
240904170006655 Main.main()	INFO:  (63 caracteres) : en minuto, un grupo compacto, ruidoso y lleno de curiosidad. En
240904170006655 Main.main()	INFO:  (27 caracteres) : ese tiempo los pánicos eran
240904170006656 Main.main()	INFO:  (24 caracteres) : frecuentes, y pocos días
240904170006656 Main.main()	INFO:  (19 caracteres) : pasaban sin que una
240904170006656 Main.main()	INFO:  (63 caracteres) : aldea a otra registrara en sus archivos algún acontecimiento de
240904170006657 Main.main()	INFO:  (19 caracteres) : ese género. Estaban
240904170006657 Main.main()	INFO:  (50 caracteres) : los señores que guerreaban entre sí; estaba el rey
240904170006657 Main.main()	INFO:  (42 caracteres) : que hacía la guerra al cardenal; estaba el
240904170006658 Main.main()	INFO:  (30 caracteres) : Español que hacía la guerra al
240904170006658 Main.main()	INFO:  (21 caracteres) : rey. Luego, además de
240904170006658 Main.main()	INFO:  (20 caracteres) : estas guerras sordas
240904170006659 Main.main()	INFO:  (72 caracteres) : o públicas, secretas o patentes, estaban los ladrones, los mendigos, los
240904170006659 Main.main()	INFO:  (26 caracteres) : hugonotes, los lobos y los
